id,root,leaf,flower bud,flower,1 cm fruit,2 cm fruit,3 cm fruit,mature green fruit,breaker fruit,fruit at 10 days after the breaker stage
Solyc01g007220,593,58,88,128,46,183,483,731,539,130
Solyc01g007230,26,14,18,14,13,20,10,18,28,19
Solyc01g007240,0.1,,16,50,,,0.4,0.1,,
Solyc01g007250,21,6,7,8,14,14,10,15,11,18
Solyc01g007260,17,1,1,1,0.4,0.9,0.8,0.2,0.1,0.1
Solyc01g007270,,,,,,1,,,,
Solyc01g007280,0.5,0.8,0.3,0.3,0.9,2,0.9,0.2,0.4,0.9
Solyc01g007290,0.3,5,0.1,0.9,0.8,4,1,1,0.3,0.9
Solyc01g007300,0.7,5,0.8,1,0.7,4,3,2,0.7,2
Solyc01g007310,0.8,11,1,4,1,3,3,2,0.2,2
Solyc01g007320,70,347,35,100,112,659,630,278,175,170
Solyc01g007330,4,78,21,23,20,94,102,8,3,56
Solyc01g007340,1,0.4,0.4,0.4,0.4,2,2,0.4,0.1,3
Solyc01g007350,1,3,2,1,0.8,5,5,0.9,0.9,3
Solyc01g007360,0.5,1,0.5,0.5,1,4,2,0.3,0.5,3
Solyc01g007370,0.7,3,0.7,0.7,2,7,6,2,0.6,3
Solyc01g007380,0.5,1,0.3,0.3,0.5,4,3,0.8,0.6,2
Solyc01g007390,,,0.6,,,3,,,,
Solyc01g007400,2,7,2,2,3,12,5,3,1,5
Solyc01g007410,8,35,15,16,28,28,33,21,12,14
Solyc01g007420,0.3,3,0.5,0.9,1,4,2,,0.3,0.5
Solyc01g007430,0.3,0.6,0.2,0.2,1,2,2,0.6,0.5,1
Solyc01g007460,0.8,8,1,0.4,3,4,5,3,2,0.8
Solyc01g007470,1,4,1,1,2,8,5,1,1,3
Solyc01g007480,,0.2,,0.3,0.3,0.4,0.9,,1,
Solyc01g007490,22,26,7,13,11,24,21,15,10,11
Solyc01g007500,0.2,16,6,7,6,24,31,3,0.7,2
Solyc01g007510,0.9,2,0.6,3,2,2,0.8,0.9,,4
Solyc01g007520,0.7,2,1,2,1,7,7,1,0.2,0.6
Solyc01g007530,,5,2,1,2,10,12,1,0.7,4
Solyc01g007540,0.3,2,0.7,0.7,0.3,5,6,0.1,0.2,0.7
Solyc01g007550,0.5,7,3,1,1,5,6,,,0.8
Solyc01g007560,0.6,0.5,0.2,0.3,0.2,2,2,0.6,0.2,0.4
Solyc01g007570,0.4,0.3,0.1,0.1,0.1,0.6,0.7,0.2,0.2,0.5
Solyc01g007580,0.2,,0.1,,0.1,1,0.4,,,0.1
Solyc01g007600,1,1,0.9,0.8,2,5,4,0.7,0.4,2
Solyc01g007610,1,2,0.8,1,2,9,4,2,0.8,3
Solyc01g007630,4,10,5,7,7,24,32,14,11,19
Solyc01g007640,0.2,0.1,0.1,0.1,0.1,0.4,0.3,0.1,0.1,0.3
Solyc01g007660,0.6,8,2,2,3,6,7,4,2,4
Solyc01g007670,2,45,10,14,14,16,18,10,8,14
Solyc01g007680,,,,,,0.2,,,,
Solyc01g007690,,0.1,0.1,,0.4,0.6,0.6,,,2
Solyc01g007700,0.4,,3,4,4,7,2,0.1,0.2,0.8
Solyc01g007720,4,22,8,14,17,39,31,3,2,176
Solyc01g007730,1,,0.3,3,8,60,21,0.5,,0.2
Solyc01g007740,42,29,54,48,78,111,92,95,84,123
Solyc01g007750,3,10,5,7,7,20,18,13,7,8
Solyc01g007760,17,7,9,9,15,15,12,18,19,27
Solyc01g007770,28,8,6,14,14,14,11,24,19,31
Solyc01g007780,24,3,3,2,1,0.8,0.8,0.6,0.2,1
Solyc01g007790,9,7,16,10,16,20,15,14,13,24
Solyc01g007800,2,1,2,2,0.5,0.1,,,,
Solyc01g007810,0.7,9,6,2,3,0.9,0.1,,0.1,
Solyc01g007820,3,0.3,0.9,1,0.7,2,0.6,0.7,0.9,0.8
Solyc01g007830,0.5,0.4,0.3,0.2,0.2,0.6,0.6,,0.4,0.7
Solyc01g007840,18,8,14,14,17,29,24,24,28,40
Solyc01g007850,5,4,4,4,3,5,6,5,6,7
Solyc01g007860,224,88,108,150,184,241,309,180,202,133
Solyc01g007870,3,5,22,5,12,7,5,1,0.6,0.4
Solyc01g007880,6,8,5,5,8,11,9,9,5,11
Solyc01g007890,18,18,7,6,5,7,8,1,2,0.4
Solyc01g007900,24,10,22,17,20,22,16,29,30,42
Solyc01g007910,126,24,48,42,94,96,57,77,57,76
Solyc01g007920,23,26,19,23,19,27,49,59,66,60
Solyc01g007930,11,9,13,12,12,16,34,19,12,18
Solyc01g007940,,0.1,,0.1,,,,,,0.1
Solyc01g007950,0.7,0.9,117,175,3,3,3,1,0.2,0.5
Solyc01g007960,13,0.1,,0.2,,0.3,0.1,0.2,0.1,
Solyc01g007970,2,,,,,0.1,,,,
Solyc01g007980,2,7,6,8,6,12,15,15,8,2
Solyc01g007990,10,3,4,4,8,8,9,7,4,6
Solyc01g008000,499,268,567,652,575,511,930,1274,1126,540
Solyc01g008010,11,19,52,119,18,14,7,8,4,3
Solyc01g008020,93,61,27,29,43,25,40,8,0.6,0.1
Solyc01g008030,62,0.2,1,,0.4,0.3,0.4,0.2,,
Solyc01g008040,0.1,,3,1,,,,,0.1,
Solyc01g008050,7,0.1,27,9,0.1,0.1,,,,
Solyc01g008060,50,31,41,39,41,41,39,31,23,22
Solyc01g008070,22,46,43,62,31,38,69,75,161,243
Solyc01g008080,88,31,62,68,155,174,280,217,183,45
Solyc01g008090,257,76,140,131,310,296,173,175,184,183
Solyc01g008100,33,18,38,28,41,58,40,39,30,8
Solyc01g008110,509,175,284,198,749,540,222,198,297,251
Solyc01g008120,45,14,10,16,16,24,26,25,23,30
Solyc01g008130,26,3,7,47,1,5,12,21,7,2
Solyc01g008140,41,4,4,10,4,10,13,10,12,7
Solyc01g008150,0.5,3,0.7,,,,0.9,,,0.4
Solyc01g008160,8,10,16,15,30,28,21,22,34,49
Solyc01g008170,28,13,14,24,23,30,32,32,24,20
Solyc01g008180,21,19,18,14,18,12,12,15,12,5
Solyc01g008190,18,7,8,15,9,9,12,10,13,17
Solyc01g008200,11,4,7,12,7,10,9,11,10,12
Solyc01g008210,9,2,8,4,5,6,9,10,3,5
Solyc01g008220,5,0.7,3,3,2,5,6,7,2,2
Solyc01g008230,47,50,64,59,138,127,202,145,88,116
Solyc01g008240,2,0.3,682,787,0.8,0.3,3,1,0.4,0.1
Solyc01g008250,6,135,33,39,25,32,28,22,15,19
Solyc01g008260,17,8,20,19,16,11,16,28,22,23
Solyc01g008270,72,24,35,24,72,61,62,51,37,54
Solyc01g008280,42,10,14,23,25,45,46,61,60,60
Solyc01g008290,17,6,8,7,10,9,7,8,3,10
Solyc01g008300,13,2,1,1,0.8,2,1,4,5,2
Solyc01g008310,80,25,34,41,56,72,77,82,75,76
Solyc01g008320,28,11,11,17,12,20,26,33,44,80
Solyc01g008330,68,63,76,47,157,154,113,64,75,115
Solyc01g008340,31,12,15,11,28,35,15,26,21,35
Solyc01g008350,0.1,0.2,0.2,,0.1,0.2,0.6,0.3,0.1,0.3
Solyc01g008360,24,20,43,40,42,26,26,28,23,26
Solyc01g008370,185,62,78,90,137,159,179,100,119,163
Solyc01g008380,2,0.4,0.5,0.6,1,2,3,2,0.7,2
Solyc01g008400,0.3,,0.4,0.5,0.3,,2,1,0.9,
Solyc01g008410,,,0.1,,,,,,,
Solyc01g008420,0.9,0.4,7,6,6,12,12,11,9,1
Solyc01g008430,,,,0.1,,0.1,,,,
Solyc01g008440,9,8,28,42,4,8,7,11,3,16
Solyc01g008450,0.4,,0.1,,0.1,,,,,
Solyc01g008460,19,10,18,17,20,18,19,21,18,21
Solyc01g008470,16,8,17,12,16,14,9,10,6,7
Solyc01g008480,9,6,4,4,6,8,9,11,8,9
Solyc01g008490,13,9,9,9,10,11,14,16,21,23
Solyc01g008500,1,0.3,0.1,0.1,0.1,0.2,0.4,0.7,0.2,
Solyc01g008510,0.9,0.2,0.1,0.3,,0.2,0.1,0.3,5,29
Solyc01g008520,3,2,2,1,3,7,11,7,2,2
Solyc01g008530,11,14,38,7,17,13,9,4,0.8,0.6
Solyc01g008540,,,0.2,0.8,2,0.8,1,,3,
Solyc01g008550,226,156,189,160,267,185,154,46,17,4
Solyc01g008560,28,11,18,22,15,14,9,27,13,26
Solyc01g008570,,,0.1,,,,,,,
Solyc01g008600,6,4,18,10,75,46,17,12,8,9
Solyc01g008610,,,3,8,,,,,,
Solyc01g008620,46,1,1,2,0.1,0.3,0.6,0.4,0.2,0.7
Solyc01g008640,8,,,,,,,,,
Solyc01g008650,24,,0.1,0.3,,,,,,
Solyc01g008660,7,4,3,4,7,8,8,9,4,9
Solyc01g008670,0.6,7,16,18,0.6,0.2,0.4,0.6,0.2,0.2
Solyc01g008680,0.5,,17,11,0.3,0.5,0.1,1,2,5
Solyc01g008690,11,0.2,,,0.7,0.2,0.1,0.1,,
Solyc01g008700,5,13,13,8,15,13,14,20,106,42
Solyc01g008710,,1,,2,0.1,,,2,1073,171
Solyc01g008720,,,,0.1,0.1,,0.1,,0.1,
Solyc01g008730,25,10,14,19,11,12,16,20,26,20
Solyc01g008740,,,7,3,,,0.1,,,
Solyc01g008750,,,,,,0.1,,,,
Solyc01g008760,4,3,5,3,7,8,9,8,5,4
Solyc01g008770,36,26,24,21,35,37,31,27,13,16
Solyc01g008780,26,86,48,69,23,31,42,44,45,93
Solyc01g008790,9,31,21,8,78,96,78,60,13,1
Solyc01g008800,7,3,1,1,1,2,0.9,3,2,1
Solyc01g008810,34,24,36,40,35,28,42,24,21,14
Solyc01g008820,59,44,63,42,49,41,27,37,56,64
Solyc01g008830,0.1,10,3,6,0.5,0.4,0.7,1,1,0.2
Solyc01g008840,51,31,43,54,52,51,39,63,63,75
Solyc01g008850,16,69,75,164,55,58,59,122,136,169
Solyc01g008870,,,,,,,,0.2,,
Solyc01g008880,,0.2,0.2,0.2,,,0.1,0.2,0.1,
Solyc01g008890,18,16,15,21,13,14,18,11,9,13
Solyc01g008900,6,5,4,3,7,8,4,6,5,6
Solyc01g008910,5,2,2,8,2,1,2,2,7,16
Solyc01g008920,0.9,51,7,18,4,5,5,7,5,3
Solyc01g008930,3,7,15,13,16,12,8,8,5,4
Solyc01g008940,2,17,4,1,0.2,,,,,
Solyc01g008950,383,161,323,301,338,276,306,297,302,197
Solyc01g008960,234,62,146,130,220,302,338,220,162,89
Solyc01g008970,289,145,134,197,247,298,450,300,319,160
Solyc01g008980,10,8,10,11,9,9,12,13,16,18
Solyc01g008990,23,13,24,22,28,25,28,24,18,23
Solyc01g009000,52,27,25,31,46,53,79,52,42,36
Solyc01g009010,11,32,59,51,52,36,28,24,56,84
Solyc01g009020,159,134,193,225,201,191,231,256,243,112
Solyc01g009030,27,6,9,7,17,22,20,22,21,30
Solyc01g009040,15,2,6,1,9,2,1,0.3,,
Solyc01g009050,36,24,23,27,30,31,36,35,36,64
Solyc01g009060,29,10,16,26,19,27,24,26,26,33
Solyc01g009070,13,6,21,20,6,10,12,11,7,6
Solyc01g009080,0.1,254,121,92,38,37,12,22,29,3
Solyc01g009090,51,22,29,41,44,40,64,52,52,59
Solyc01g009100,142,56,107,86,229,247,116,118,86,108
Solyc01g009110,5,14,7,10,7,8,12,12,15,28
Solyc01g009120,4,12,4,5,3,6,7,11,10,18
Solyc01g009140,,,,,,,,,,0.2
Solyc01g009150,16,10,16,12,20,22,13,21,13,19
Solyc01g009160,41,18,2,2,12,5,1,45,15,15
Solyc01g009170,161,52,28,97,20,43,76,144,185,95
Solyc01g009180,27,14,14,22,18,26,15,25,32,44
Solyc01g009190,0.1,0.1,0.5,,,,0.1,,,
Solyc01g009200,11,4,5,2,3,3,4,0.9,0.2,0.1
Solyc01g009210,,,0.3,,,,,,,
Solyc01g009220,2,3,2,0.9,2,1,0.9,0.2,,
Solyc01g009230,16,10,2,3,4,8,6,8,6,3
Solyc01g009240,0.4,0.3,79,19,0.1,,0.2,0.2,0.1,
Solyc01g009250,0.8,1,6,13,0.8,1,2,2,1,0.2
Solyc01g009260,0.8,1,,,0.1,,,,,
Solyc01g009270,0.1,0.1,,0.1,,,,,,
Solyc01g009280,28,14,15,18,15,18,20,27,21,26
Solyc01g009290,23,7,15,19,16,16,16,16,17,24
Solyc01g009300,90,9,9,15,17,55,73,52,22,18
Solyc01g009310,180,57,68,52,129,163,148,190,83,100
Solyc01g009320,0.1,,,0.2,,,,,,
Solyc01g009330,0.7,0.2,0.2,0.1,,,,,,
Solyc01g009340,1,1,3,1,3,1,1,0.5,0.3,0.1
Solyc01g009350,0.1,,1,,,,,,,
Solyc01g009370,26,,0.3,1,,,,0.1,,
Solyc01g009380,17,11,8,7,10,11,11,12,11,14
Solyc01g009390,19,4,7,11,6,11,12,13,22,23
Solyc01g009400,6,,,,,,,,,
Solyc01g009410,21,,,,,,,,,
Solyc01g009420,212,99,126,92,323,494,484,470,387,242
Solyc01g009430,41,30,99,202,72,165,331,410,884,324
Solyc01g009440,,,1,,,0.1,,,,
Solyc01g009450,162,87,86,101,102,135,219,209,322,150
Solyc01g009460,,0.4,,0.5,0.6,0.8,0.5,0.6,,0.4
Solyc01g009470,0.2,,,,,,,,,
Solyc01g009480,2,0.4,5,24,0.1,,0.1,0.2,0.1,
Solyc01g009500,18,13,8,11,6,6,5,9,4,6
Solyc01g009520,169,71,114,86,293,230,264,239,167,139
Solyc01g009530,0.1,,,,,,0.1,,,
Solyc01g009550,,,,,0.3,0.7,0.5,0.6,0.3,0.4
Solyc01g009560,2,,,,,,,,,
Solyc01g009570,,40,21,16,3,0.9,0.1,0.1,,
Solyc01g009580,4,,0.7,,0.2,,0.2,,,
Solyc01g009590,,,1215,,,,,0.4,0.1,
Solyc01g009600,,,20,17,,,0.1,0.1,,
Solyc01g009610,48,38,36,27,85,68,60,52,23,18
Solyc01g009620,12,8,16,10,37,31,28,23,19,33
Solyc01g009630,33,24,23,23,42,35,34,30,34,59
Solyc01g009650,0.9,,,,,,,,,
Solyc01g009670,2,12,2,3,4,2,2,1,0.5,0.1
Solyc01g009680,,0.1,,,,,,,,
Solyc01g009690,4,0.1,0.1,0.3,,0.3,0.1,0.5,0.1,
Solyc01g009700,1,0.5,0.3,0.2,0.1,,0.1,0.3,,
Solyc01g009720,6,1,0.5,0.5,0.3,0.2,0.1,0.1,0.1,0.1
Solyc01g009730,,,0.2,,,,,,,
Solyc01g009740,,,0.1,0.1,,,,,,
Solyc01g009750,110,59,85,114,106,113,142,206,206,273
Solyc01g009760,11,3,2,4,1,1,0.4,3,2,0.9
Solyc01g009770,29,3,10,2,15,8,5,4,8,4
