NLR clade,gene_short_na
CNL-16,Cc00g24830
CNL-16,Cc00g24870
CNL-16,Cc00g24960
CNL-16,Cc00g25160
CNL-16,Cc00g25560
CNL-16,Cc00g25760
CNL-16,Cc00g25860
CNL-16,Cc00g25880
CNL-16,Cc00g26090
CNL-16,Cc00g26260
CNL-16,Cc00g26280
CNL-16,Cc00g26460
CNL-16,Cc00g26670
CNL-16,Cc00g26700
CNL-16,Cc00g27310
CNL-16,Cc00g27390
CNL-16,Cc00g27620
CNL-16,Cc00g27660
CNL-16,Cc00g27960
CNL-16,Cc00g28310
CNL-16,Cc00g28740
CNL-16,Cc00g29120
CNL-16,Cc00g29190
CNL-16,Cc00g29230
CNL-16,Cc00g29430
CNL-16,Cc00g29510
CNL-16,Cc00g30320
CNL-16,Cc00g30480
CNL-16,Cc00g30510
CNL-16,Cc00g30560
CNL-16,Cc00g30580
CNL-16,Cc00g31350
CNL-16,Cc00g31370
CNL-16,Cc00g32660
CNL-16,Cc00g32700
CNL-16,Cc00g32860
CNL-16,Cc00g33010
CNL-16,Cc00g35040
CNL-16,Cc00g35410
CNL-16,Cc00g35480
CNL-16,Cc00g35880
CNL-16,Cc01g00010
CNL-16,Cc01g00390
CNL-16,Cc01g00420
CNL-16,Cc01g00430
CNL-16,Cc01g00440
CNL-16,Cc01g00470
CNL-16,Cc01g00520
CNL-16,Cc01g00550
CNL-16,Cc01g00570
CNL-16,Cc01g00590
CNL-16,Cc01g00910
CNL-16,Cc01g00950
CNL-16,Cc01g01600
CNL-16,Cc01g01750
CNL-16,Cc01g01770
CNL-16,Cc01g01790
CNL-16,Cc01g01800
CNL-16,Cc01g01820
CNL-16,Cc01g01840
CNL-16,Cc01g02020
CNL-16,Cc01g02240
CNL-16,Cc01g02280
CNL-16,Cc01g02320
CNL-16,Cc01g02350
CNL-16,Cc01g02500
CNL-16,Cc01g02600
CNL-16,Cc01g02870
CNL-16,Cc01g02910
CNL-16,Cc01g03180
CNL-16,Cc01g03250
CNL-16,Cc01g05220
CNL-16,Cc01g05230
CNL-16,Cc01g05240
CNL-16,Cc01g05270
CNL-16,Cc01g05280
CNL-16,Cc02g32490
CNL-16,Cc03g09340
CNL-16,Cc03g10470
CNL-16,Cc03g11690
CNL-16,Cc03g11720
CNL-16,Cc03g11730
CNL-16,Cc03g11800
CNL-16,Cc03g11820
CNL-16,Cc03g11840
CNL-16,Cc03g12660
CNL-16,Cc03g12670
CNL-16,Cc03g12690
CNL-16,Cc03g12700
CNL-16,Cc03g12710
CNL-16,Cc03g12760
CNL-16,Cc03g12790
CNL-16,Cc03g12800
CNL-16,Cc03g12820
CNL-16,Cc03g12830
CNL-16,Cc03g12840
CNL-16,Cc03g14560
CNL-16,Cc03g14580
CNL-16,Cc03g14680
CNL-16,Cc03g15860
CNL-16,Cc04g12940
CNL-16,Cc07g21270
CNL-16,Solyc02g030290
CNL-16,Solyc10g085460
CNL-2,BS2
CNL-2,Gpa2
CNL-2,Rx
CNL-2,Solyc02g027080
CNL-2,Solyc04g015220
CNL-2,Solyc08g005500
CNL-2,Solyc12g006040
CNL-2,Solyc12g009450
CNL-2,Solyc12g009460
CNL-2,Solyc12g010660
CNL-3,Solyc05g008070
CNL-3,Solyc07g049700
CNL-3,Solyc10g051050
CNL-3,Solyc11g006520
CNL-3,Solyc11g006530
CNL-3,Solyc11g006630
CNL-3,Solyc11g006640
CNL-3,Solyc11g020100
CNL-3,Solyc12g017800
CNL-4,Cc04g07790
CNL-4,Cc06g11100
CNL-4,Rpivnt1
CNL-4,Solyc09g018220
CNL-4,Solyc09g092280
CNL-4,Solyc09g092290
CNL-4,Solyc09g092300
CNL-4,Solyc09g092310
